[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1418
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1443
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1468
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1493
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1518
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1543
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1568
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1593
[ 26] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 16   | WRITE: 0       | PULSE: 1619
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1644
[ 24] event     0/1     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1668
[ 26] event     0/1     idle 1015 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1694
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1719
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1744
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1769
[ 25] event     0/1     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1794
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1819
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1844
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1869
[ 26] event     0/1     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1895
[ 24] event     0/2     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1919
[ 24] event     0/2     idle 921  event 0    heartbeat 0    I/O 94   chrUpate 0    | WRITE: 425     | PULSE: 1945
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1970
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 1995
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2020
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2045
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2070
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2095
[ 25] event     0/2     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2120
[ 25] event     0/2     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2145
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2170
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2195
[ 26] event     0/2     idle 1016 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2221
[ 24] event     0/2     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2245
[ 26] event     0/2     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2271
[ 24] event     0/2     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2295
[ 26] event     0/2     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2321
[ 25] event     0/2     idle 952  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2346
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2371
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2396
[ 26] event     0/2     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2422
[ 25] event     0/2     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2447
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2472
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2497
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2522
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2547
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2572
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2597
[ 25] event     0/2     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2622
[ 25] event     0/2     idle 1015 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2647
[ 26] event     0/2     idle 1016 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2673
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2698
[ 24] event     0/2     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2722
[ 26] event     0/2     idle 1015 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2748
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2773
[ 25] event     0/2     idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2798
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2823
[ 26] event     0/2     idle 1016 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2849
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2874
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2899
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2924
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2949
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2974
[ 25] event     0/2     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 2999
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3024
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3049
[ 25] event     0/2     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3074
[ 25] event     0/2     idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3099
[ 23] event     0/3     idle 891  event 0    heartbeat 0    I/O 94   chrUpate 0    | WRITE: 305     | PULSE: 3124
[ 26] event     0/3     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3150
[ 25] event     0/3     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3175
[ 23] event     0/4     idle 890  event 0    heartbeat 0    I/O 94   chrUpate 0    | WRITE: 432     | PULSE: 3200
[ 25] event     0/4     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 6       | PULSE: 3225
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3250
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3275
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3300
[ 26] event     0/4     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3326
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3351
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3376
[ 25] event     0/4     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3401
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3426
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3451
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3476
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3501
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3526
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3551
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3576
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3601
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3626
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3651
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3676
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3701
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3726
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3751
[ 25] event     0/4     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3776
[ 25] event     0/4     idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3801
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3826
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3851
