[ 25] event   154/5579  idle 984  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2175
[ 25] event   164/5579  idle 938  event 31   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2200
[ 25] event   175/5579  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2225
[ 26] event   169/5579  idle 983  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2251
[ 25] event   250/5579  idle 968  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2276
[ 24] event   178/5579  idle 969  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2300
[ 26] event   171/5579  idle 1015 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2326
[ 25] event   169/5579  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2351
[ 25] event   183/5579  idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2376
[ 25] event   177/5579  idle 985  event 15   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2401
[ 25] event   174/5579  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2426
[ 26] event   231/5579  idle 999  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2452
[ 25] event   246/5579  idle 969  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2477
[ 25] event   218/5579  idle 984  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2502
[ 25] event   221/5579  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2527
[ 26] event   282/5579  idle 999  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2553
