[ 25] event     0/55    idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2161
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2186
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2211
[ 25] event     0/55    idle 954  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2236
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2261
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2286
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2311
[ 26] event     0/55    idle 1015 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2337
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2362
[ 25] event     0/55    idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2387
[ 25] event     0/55    idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2412
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2437
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2462
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2487
[ 26] event     0/55    idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2513
