[  1] event     0/1     idle 0    event 0    heartbeat 0    I/O 2031 chrUpate 0    | WRITE: 0       | PULSE: 93
[  3] event     0/1     idle 94   event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 146
[ 20] event     0/1     idle 797  event 0    heartbeat 0    I/O 1531 chrUpate 0    | WRITE: 196     | PULSE: 166
[ 16] event     0/7137  idle 609  event 0    heartbeat 0    I/O 43500 chrUpate 0    | WRITE: 26      | PULSE: 220
[  8] event  5064/7139  idle 250  event 219  heartbeat 0    I/O 109  chrUpate 0    | WRITE: 483     | PULSE: 982
[ 25] event   205/7139  idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 689     | PULSE: 1009
[ 25] event   195/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1034
[ 25] event   198/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1059
[ 25] event   273/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1084
[ 25] event   190/7139  idle 953  event 16   heartbeat 0    I/O 16   chrUpate 0    | WRITE: 70      | PULSE: 1109
[ 25] event   188/7139  idle 1015 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1134
[ 25] event   181/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1159
[ 25] event   194/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1184
[ 25] event   196/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1209
[ 25] event   208/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1234
[ 26] event   223/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 16   | WRITE: 13      | PULSE: 1260
[ 25] event   203/7139  idle 952  event 16   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1285
[ 25] event   205/7139  idle 984  event 32   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1310
[ 26] event   263/7139  idle 938  event 46   heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1336
[ 25] event   227/7139  idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1361
[ 25] event   215/7139  idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1386
